CUSTOMER_0000001,Grace,Smith,1981-11-30,davisjesse@example.net,028-72-3258,1,800,2023-01-02 14:51:13,REJECTED
CUSTOMER_0000002,Henry,Miller,1988-12-27,lrobinson@example.com,829-01-2616,1,1200,2023-01-04 00:40:58,PENDING
CUSTOMER_0000003,Frank,Smith,1980-03-15,jpeterson@example.org,782-44-1675,0,1100,2023-01-06 11:11:38,PENDING
CUSTOMER_0000004,Eva,Williams,1975-11-22,jamesmichael@example.com,619-34-0712,0,800,2023-01-06 12:05:43,VERIFIED
CUSTOMER_0000005,Carol,Williams,1992-11-13,yherrera@example.org,566-38-5926,1,1200,2023-01-02 13:10:14,VERIFIED
CUSTOMER_0000006,Irene,Davis,1993-11-05,janetwilliams@example.org,792-38-1308,1,300,2023-01-02 21:21:29,VERIFIED
CUSTOMER_0000007,Alice,Williams,1989-11-04,michellejames@example.com,651-47-2665,0,600,2023-01-08 09:09:57,PENDING
CUSTOMER_0000008,Henry,Smith,1980-11-08,michael41@example.net,651-22-8752,0,200,2023-01-04 04:48:18,PENDING
CUSTOMER_0000009,David,Jones,1994-06-15,frankgray@example.net,705-72-3599,1,1500,2023-01-03 22:01:24,REJECTED
CUSTOMER_0000010,Carol,Lopez,1990-04-12,megan03@example.org,825-41-6573,1,400,2023-01-07 20:34:46,REJECTED
CUSTOMER_0000011,Carol,Jones,1981-10-19,carl95@example.org,672-64-6483,0,400,2023-01-08 03:13:24,PENDING
CUSTOMER_0000012,Grace,Martinez,1993-02-23,ithomas@example.org,763-72-8831,1,600,2023-01-05 04:52:56,VERIFIED
CUSTOMER_0000013,Carol,Williams,1988-06-19,julie69@example.com,371-29-2267,0,1500,2023-01-09 07:54:37,VERIFIED
CUSTOMER_0000014,David,Lopez,1986-01-13,ddavis@example.org,157-81-2622,1,800,2023-01-10 09:59:37,REJECTED
CUSTOMER_0000015,Frank,Garcia,1985-05-09,ycarlson@example.com,611-60-8670,0,1500,2023-01-04 00:52:54,PENDING
CUSTOMER_0000016,Frank,Smith,1976-10-19,tasha01@example.net,550-97-4372,0,800,2023-01-03 07:35:53,REJECTED
CUSTOMER_0000017,Eva,Smith,1984-04-21,daniel62@example.com,004-93-4316,1,300,2023-01-04 10:13:46,REJECTED
CUSTOMER_0000018,Irene,Smith,1991-11-29,williamrodriguez@example.net,306-82-8318,1,600,2023-01-10 11:42:32,VERIFIED
CUSTOMER_0000019,Henry,Brown,1982-04-30,ericfarmer@example.net,798-68-0010,1,300,2023-01-10 03:19:28,REJECTED
CUSTOMER_0000020,Carol,Miller,1979-10-02,tracy15@example.com,246-08-3947,1,800,2023-01-08 23:07:54,VERIFIED
CUSTOMER_0000021,Irene,Miller,1980-03-16,millertodd@example.org,779-69-2061,1,1100,2023-01-07 22:06:19,REJECTED
CUSTOMER_0000022,Jack,Miller,1986-09-14,donnaarroyo@example.org,272-68-9939,1,200,2023-01-05 02:34:11,PENDING
CUSTOMER_0000023,Alice,Martinez,1977-07-06,ibrandt@example.net,707-26-5108,1,300,2023-01-02 05:09:34,REJECTED
CUSTOMER_0000024,Henry,Johnson,1986-05-28,pcarney@example.com,449-67-7398,0,800,2023-01-07 18:41:46,REJECTED
